#voltage[V] current[uA] LCR_freq[Hz] CP D CPerror Derror 
36.8 0.0390 316228 1.37535E-11 5.15244E-2 1.64178E-14 9.50308E-4
36.8 0.0380 1E6 1.47120E-11 1.41410E-1 9.35404E-15 6.05488E-4
38.1 0.0390 1000 1.47976E-11 1.09759E-1 2.94623E-14 2.10784E-3
38.1 0.0390 3162 1.38693E-11 5.28887E-2 1.67379E-13 8.85267E-3
38.1 0.0390 10000 1.36898E-11 1.26383E-2 6.74529E-14 2.52778E-3
38.1 0.0390 31623 1.36803E-11 1.16434E-2 8.25850E-15 5.03318E-4
38.1 0.0390 100000 1.37709E-11 2.53584E-2 1.04599E-15 1.89787E-4
38.1 0.0400 316228 1.35968E-11 4.90028E-2 1.23980E-14 1.08713E-3
38.1 0.0400 1E6 1.45524E-11 1.31614E-1 7.56617E-15 3.56642E-4
39.3 0.0400 1000 1.46358E-11 1.09047E-1 2.96904E-14 1.95073E-3
39.3 0.0410 3162 1.40531E-11 3.47352E-2 4.32982E-14 7.31010E-3
39.3 0.0390 10000 1.34487E-11 1.59379E-2 2.24863E-14 3.06264E-3
39.3 0.0400 31623 1.35137E-11 1.14328E-2 9.94527E-15 7.88300E-4
39.3 0.0390 100000 1.35995E-11 2.48925E-2 2.01000E-15 1.53846E-4
39.3 0.0410 316228 1.34177E-11 4.67551E-2 1.43337E-14 1.22765E-3
39.3 0.0410 1E6 1.43891E-11 1.25099E-1 8.43516E-15 8.06422E-4
40.6 0.0400 1000 1.45623E-11 1.10129E-1 3.01426E-14 1.96385E-3
40.6 0.0420 3162 1.38596E-11 3.21933E-2 6.60265E-14 1.00267E-2
40.6 0.0420 10000 1.32806E-11 1.78088E-2 2.26000E-14 3.33245E-3
40.7 0.0430 31623 1.33423E-11 1.18944E-2 1.31408E-14 5.08651E-4
